dataset,model,sd_accuracy,unstable_share,mean_vi,max_vi
acs_income,hist_gradient_boosting,0.0070591345412437,0.17537313432835822,0.08066194029850744,0.5
acs_income,logistic_regression,0.0061264371639013,0.1828358208955224,0.08455597014925373,0.4992
acs_income,random_forest,0.0068615423329911,0.1865671641791045,0.08332238805970148,0.4992
adult,hist_gradient_boosting,0.003457915405429,0.13432835820895522,0.0638320895522388,0.5
adult,logistic_regression,0.0037110446276756,0.1455223880597015,0.06458731343283582,0.4982
adult,random_forest,0.0036473048214931,0.14925373134328357,0.06798731343283583,0.4998
compas,hist_gradient_boosting,0.0161346113406606,0.3694029850746269,0.15464701492537314,0.4998
compas,logistic_regression,0.0169535684632326,0.11567164179104478,0.05497537313432835,0.4992
compas,random_forest,0.0159496287386448,0.34701492537313433,0.153644776119403,0.5
german,hist_gradient_boosting,0.0262337759172725,0.6044776119402985,0.2560310243176492,0.5
german,logistic_regression,0.0303366816518812,0.6940298507462687,0.2911069187902498,0.5
german,random_forest,0.0242430639646232,0.5783582089552238,0.24050801241029904,0.5
