audit_family,dataset,model,protected_attribute,fairness_metric,effective_support,unstable_share,mean_vi,max_vi
acs_income__hist_gradient_boosting__race__dpd_violation,acs_income,hist_gradient_boosting,race,dpd_violation,1138.78,0.12903225806451613,0.05802580645161289,0.4758
acs_income__hist_gradient_boosting__race__dpr_violation,acs_income,hist_gradient_boosting,race,dpr_violation,1138.78,0.17073170731707318,0.08985365853658535,0.4982
acs_income__hist_gradient_boosting__race__eod_violation,acs_income,hist_gradient_boosting,race,eod_violation,412.75,0.22580645161290322,0.09980645161290322,0.5
acs_income__hist_gradient_boosting__race__equalized_odds_violation,acs_income,hist_gradient_boosting,race,equalized_odds_violation,412.75,0.1935483870967742,0.08674193548387095,0.4982
acs_income__hist_gradient_boosting__sex__dpd_violation,acs_income,hist_gradient_boosting,sex,dpd_violation,1430.81,0.12903225806451613,0.06081290322580645,0.4998
acs_income__hist_gradient_boosting__sex__dpr_violation,acs_income,hist_gradient_boosting,sex,dpr_violation,1430.81,0.1951219512195122,0.08208292682926828,0.4982
acs_income__hist_gradient_boosting__sex__eod_violation,acs_income,hist_gradient_boosting,sex,eod_violation,494.25,0.1935483870967742,0.0875032258064516,0.4992
acs_income__hist_gradient_boosting__sex__equalized_odds_violation,acs_income,hist_gradient_boosting,sex,equalized_odds_violation,494.25,0.16129032258064516,0.07704516129032257,0.495
acs_income__logistic_regression__race__dpd_violation,acs_income,logistic_regression,race,dpd_violation,1138.78,0.16129032258064516,0.06280645161290323,0.4982
acs_income__logistic_regression__race__dpr_violation,acs_income,logistic_regression,race,dpr_violation,1138.78,0.21951219512195122,0.10074146341463414,0.495
acs_income__logistic_regression__race__eod_violation,acs_income,logistic_regression,race,eod_violation,412.75,0.1935483870967742,0.10538064516129031,0.4982
acs_income__logistic_regression__race__equalized_odds_violation,acs_income,logistic_regression,race,equalized_odds_violation,412.75,0.16129032258064516,0.09207096774193547,0.4928
acs_income__logistic_regression__sex__dpd_violation,acs_income,logistic_regression,sex,dpd_violation,1430.81,0.12903225806451613,0.06153548387096773,0.4992
acs_income__logistic_regression__sex__dpr_violation,acs_income,logistic_regression,sex,dpr_violation,1430.81,0.1951219512195122,0.07927317073170731,0.4992
acs_income__logistic_regression__sex__eod_violation,acs_income,logistic_regression,sex,eod_violation,494.25,0.1935483870967742,0.09081935483870968,0.4968000000000001
