audit_tolerance,operating_threshold,operational_sensitivity,governance_boundary_sensitivity,dataset,model,protected_attribute,fairness_metric
0.0,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.0,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.0,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.0,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.0,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.0,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.0,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.0,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.0,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.01,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.01,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.01,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.01,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.01,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.01,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.01,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.01,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.01,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.02,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.02,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.02,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.02,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.02,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.02,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.02,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.02,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.02,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.03,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.03,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.03,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.03,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.03,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.03,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.03,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.03,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.03,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.04,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.04,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.04,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.04,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.04,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.04,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.04,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.04,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.04,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.05,0.3,0.0,0.5000000000000001,acs_income,hist_gradient_boosting,race,dpd_violation
0.05,0.35,0.0,0.5000000000000001,acs_income,hist_gradient_boosting,race,dpd_violation
0.05,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.05,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.05,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.05,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.05,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.05,0.65,0.0,0.5000000000000001,acs_income,hist_gradient_boosting,race,dpd_violation
0.05,0.7,0.0,1.0000000000000002,acs_income,hist_gradient_boosting,race,dpd_violation
0.06,0.3,0.0,3.4999999999999996,acs_income,hist_gradient_boosting,race,dpd_violation
0.06,0.35,0.09999999999999996,1.4999999999999996,acs_income,hist_gradient_boosting,race,dpd_violation
0.06,0.4,0.09999999999999996,0.4999999999999999,acs_income,hist_gradient_boosting,race,dpd_violation
0.06,0.45,0.0,0.4999999999999999,acs_income,hist_gradient_boosting,race,dpd_violation
0.06,0.5,0.0,0.4999999999999999,acs_income,hist_gradient_boosting,race,dpd_violation
0.06,0.55,0.0,0.9999999999999998,acs_income,hist_gradient_boosting,race,dpd_violation
0.06,0.6,0.10000000000000002,1.4999999999999996,acs_income,hist_gradient_boosting,race,dpd_violation
0.06,0.65,0.20000000000000004,1.9999999999999996,acs_income,hist_gradient_boosting,race,dpd_violation
0.06,0.7,0.20000000000000026,3.999999999999999,acs_income,hist_gradient_boosting,race,dpd_violation
0.07,0.3,0.8000000000000004,6.499999999999999,acs_income,hist_gradient_boosting,race,dpd_violation
0.07,0.35,0.5999999999999999,4.999999999999999,acs_income,hist_gradient_boosting,race,dpd_violation
0.07,0.4,0.1999999999999999,3.4999999999999996,acs_income,hist_gradient_boosting,race,dpd_violation
0.07,0.45,0.0,1.9999999999999996,acs_income,hist_gradient_boosting,race,dpd_violation
0.07,0.5,0.09999999999999996,1.9999999999999996,acs_income,hist_gradient_boosting,race,dpd_violation
0.07,0.55,0.2,3.999999999999999,acs_income,hist_gradient_boosting,race,dpd_violation
0.07,0.6,0.20000000000000004,3.999999999999999,acs_income,hist_gradient_boosting,race,dpd_violation
0.07,0.65,0.5000000000000001,7.999999999999998,acs_income,hist_gradient_boosting,race,dpd_violation
0.07,0.7,0.800000000000001,13.999999999999996,acs_income,hist_gradient_boosting,race,dpd_violation
0.08,0.3,0.6000000000000004,13.500000000000007,acs_income,hist_gradient_boosting,race,dpd_violation
0.08,0.35,0.6999999999999998,10.000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.08,0.4,0.6999999999999998,7.000000000000003,acs_income,hist_gradient_boosting,race,dpd_violation
0.08,0.45,0.3000000000000001,4.500000000000003,acs_income,hist_gradient_boosting,race,dpd_violation
0.08,0.5,0.39999999999999986,5.000000000000003,acs_income,hist_gradient_boosting,race,dpd_violation
0.08,0.55,0.4000000000000001,8.500000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.08,0.6,0.9000000000000004,12.000000000000007,acs_income,hist_gradient_boosting,race,dpd_violation
