dataset,fairness_metric,mean_operational_step_change,median_operational_step_change,mean_audit_boundary_step_change,median_audit_boundary_step_change
acs_income,dpd_violation,0.014139784946236559,0.0,0.03333333333333333,0.0
acs_income,dpr_violation,0.04739837398373984,0.0,0.022694444444444444,0.0
acs_income,eod_violation,0.03577956989247312,0.0,0.03333333333333333,0.0
acs_income,equalized_odds_violation,0.025114247311827955,0.0,0.03333333333333333,0.0
adult,dpd_violation,0.0535013440860215,0.0,0.033123456790123455,0.0
adult,dpr_violation,0.0016615853658536585,0.0,0.001902777777777778,0.0
adult,eod_violation,0.01978494623655914,0.0,0.03333333333333333,0.010000000000000009
adult,equalized_odds_violation,0.031895161290322584,0.0,0.03333333333333333,0.0
compas,dpd_violation,0.06278225806451614,0.010000000000000009,0.030722222222222224,0.01
compas,dpr_violation,0.04769308943089431,0.0,0.010023148148148147,0.0
compas,eod_violation,0.06468413978494623,0.020000000000000018,0.02981481481481481,0.020000000000000018
compas,equalized_odds_violation,0.04992607526881721,0.01999999999999999,0.028833333333333332,0.019999999999999997
german,dpd_violation,0.0451542016497275,0.0273972602739726,0.031309994926433285,0.0273972602739726
german,dpr_violation,0.05269810112484686,0.0273972602739726,0.023348110096397767,0.013698630136986356
german,eod_violation,0.04693836405529954,0.02857142857142858,0.029149029982363312,0.014285714285714346
german,equalized_odds_violation,0.050092108150560734,0.030612244897959162,0.028068517855485274,0.02631578947368418
