dataset,model,seed,n_train,n_validation,n_test
adult,logistic_regression,0,34188,7327,7327
adult,random_forest,0,34188,7327,7327
adult,hist_gradient_boosting,0,34188,7327,7327
adult,logistic_regression,1,34188,7327,7327
adult,random_forest,1,34188,7327,7327
adult,hist_gradient_boosting,1,34188,7327,7327
adult,logistic_regression,2,34188,7327,7327
adult,random_forest,2,34188,7327,7327
adult,hist_gradient_boosting,2,34188,7327,7327
adult,logistic_regression,3,34188,7327,7327
adult,random_forest,3,34188,7327,7327
adult,hist_gradient_boosting,3,34188,7327,7327
adult,logistic_regression,4,34188,7327,7327
adult,random_forest,4,34188,7327,7327
adult,hist_gradient_boosting,4,34188,7327,7327
adult,logistic_regression,5,34188,7327,7327
adult,random_forest,5,34188,7327,7327
adult,hist_gradient_boosting,5,34188,7327,7327
adult,logistic_regression,6,34188,7327,7327
adult,random_forest,6,34188,7327,7327
adult,hist_gradient_boosting,6,34188,7327,7327
adult,logistic_regression,7,34188,7327,7327
adult,random_forest,7,34188,7327,7327
adult,hist_gradient_boosting,7,34188,7327,7327
adult,logistic_regression,8,34188,7327,7327
adult,random_forest,8,34188,7327,7327
adult,hist_gradient_boosting,8,34188,7327,7327
adult,logistic_regression,9,34188,7327,7327
adult,random_forest,9,34188,7327,7327
adult,hist_gradient_boosting,9,34188,7327,7327
adult,logistic_regression,10,34188,7327,7327
adult,random_forest,10,34188,7327,7327
adult,hist_gradient_boosting,10,34188,7327,7327
adult,logistic_regression,11,34188,7327,7327
adult,random_forest,11,34188,7327,7327
adult,hist_gradient_boosting,11,34188,7327,7327
adult,logistic_regression,12,34188,7327,7327
adult,random_forest,12,34188,7327,7327
adult,hist_gradient_boosting,12,34188,7327,7327
adult,logistic_regression,13,34188,7327,7327
adult,random_forest,13,34188,7327,7327
adult,hist_gradient_boosting,13,34188,7327,7327
adult,logistic_regression,14,34188,7327,7327
adult,random_forest,14,34188,7327,7327
adult,hist_gradient_boosting,14,34188,7327,7327
adult,logistic_regression,15,34188,7327,7327
adult,random_forest,15,34188,7327,7327
adult,hist_gradient_boosting,15,34188,7327,7327
adult,logistic_regression,16,34188,7327,7327
adult,random_forest,16,34188,7327,7327
adult,hist_gradient_boosting,16,34188,7327,7327
adult,logistic_regression,17,34188,7327,7327
adult,random_forest,17,34188,7327,7327
adult,hist_gradient_boosting,17,34188,7327,7327
adult,logistic_regression,18,34188,7327,7327
adult,random_forest,18,34188,7327,7327
adult,hist_gradient_boosting,18,34188,7327,7327
adult,logistic_regression,19,34188,7327,7327
adult,random_forest,19,34188,7327,7327
adult,hist_gradient_boosting,19,34188,7327,7327
adult,logistic_regression,20,34188,7327,7327
adult,random_forest,20,34188,7327,7327
adult,hist_gradient_boosting,20,34188,7327,7327
adult,logistic_regression,21,34188,7327,7327
adult,random_forest,21,34188,7327,7327
adult,hist_gradient_boosting,21,34188,7327,7327
adult,logistic_regression,22,34188,7327,7327
adult,random_forest,22,34188,7327,7327
adult,hist_gradient_boosting,22,34188,7327,7327
adult,logistic_regression,23,34188,7327,7327
adult,random_forest,23,34188,7327,7327
adult,hist_gradient_boosting,23,34188,7327,7327
adult,logistic_regression,24,34188,7327,7327
adult,random_forest,24,34188,7327,7327
adult,hist_gradient_boosting,24,34188,7327,7327
adult,logistic_regression,25,34188,7327,7327
adult,random_forest,25,34188,7327,7327
adult,hist_gradient_boosting,25,34188,7327,7327
adult,logistic_regression,26,34188,7327,7327
adult,random_forest,26,34188,7327,7327
adult,hist_gradient_boosting,26,34188,7327,7327
adult,logistic_regression,27,34188,7327,7327
adult,random_forest,27,34188,7327,7327
adult,hist_gradient_boosting,27,34188,7327,7327
adult,logistic_regression,28,34188,7327,7327
adult,random_forest,28,34188,7327,7327
adult,hist_gradient_boosting,28,34188,7327,7327
adult,logistic_regression,29,34188,7327,7327
adult,random_forest,29,34188,7327,7327
adult,hist_gradient_boosting,29,34188,7327,7327
adult,logistic_regression,30,34188,7327,7327
adult,random_forest,30,34188,7327,7327
adult,hist_gradient_boosting,30,34188,7327,7327
adult,logistic_regression,31,34188,7327,7327
adult,random_forest,31,34188,7327,7327
adult,hist_gradient_boosting,31,34188,7327,7327
adult,logistic_regression,32,34188,7327,7327
adult,random_forest,32,34188,7327,7327
adult,hist_gradient_boosting,32,34188,7327,7327
adult,logistic_regression,33,34188,7327,7327
adult,random_forest,33,34188,7327,7327
adult,hist_gradient_boosting,33,34188,7327,7327
adult,logistic_regression,34,34188,7327,7327
adult,random_forest,34,34188,7327,7327
adult,hist_gradient_boosting,34,34188,7327,7327
adult,logistic_regression,35,34188,7327,7327
adult,random_forest,35,34188,7327,7327
adult,hist_gradient_boosting,35,34188,7327,7327
adult,logistic_regression,36,34188,7327,7327
