dataset,model,seed,protected_attribute,operating_threshold,n_test,accuracy,f1,auroc,n_group0,n_group1,n_min_group,n_positive_group0,n_positive_group1,n_min_positive_group,n_negative_group0,n_negative_group1,n_min_negative_group,selection_rate_group0,selection_rate_group1,tpr_group0,tpr_group1,fpr_group0,fpr_group1,dpd_signed,dpd_violation,dpr_symmetric,dpr_violation,eod_signed,eod_violation,equalized_odds_violation,dpd_defined,dpr_defined,eod_defined,equalized_odds_defined,min_group_ok,min_positive_group_ok,min_negative_group_ok,dpd_analysis_valid,dpr_analysis_valid,eod_analysis_valid,equalized_odds_analysis_valid
adult,logistic_regression,0,sex,0.3,7327,0.8231199672444384,0.6823529411764706,0.9031641078260223,4917,2410,2410,1501,252,252,3416,2158,2158,0.4203782794386821,0.1078838174273859,0.8221185876082612,0.626984126984127,0.24385245901639344,0.047265987025023166,-0.3124944620112962,0.3124944620112962,0.25663508964221404,0.743364910357786,-0.1951344606241342,0.1951344606241342,0.19658647199137028,True,True,True,True,True,True,True,True,True,True,True
adult,logistic_regression,0,race,0.3,7327,0.8231199672444384,0.6823529411764706,0.9031641078260223,6288,1039,1039,1604,149,149,4684,890,890,0.3412849872773537,0.17420596727622714,0.8042394014962594,0.6845637583892618,0.18274978650725876,0.08876404494382023,-0.16707902000112654,0.16707902000112654,0.5104413430721884,0.48955865692781164,-0.11967564310699763,0.11967564310699763,0.11967564310699763,True,True,True,True,True,True,True,True,True,True,True
adult,logistic_regression,0,sex,0.35,7327,0.8392247850416269,0.6881948120698782,0.9031641078260223,4917,2410,2410,1501,252,252,3416,2158,2158,0.365873500101688,0.0937759336099585,0.765489673550966,0.5992063492063492,0.19028103044496486,0.03475440222428174,-0.2720975664917295,0.2720975664917295,0.256306984747174,0.743693015252826,-0.1662833243446168,0.1662833243446168,0.1662833243446168,True,True,True,True,True,True,True,True,True,True,True
adult,logistic_regression,0,race,0.35,7327,0.8392247850416269,0.6881948120698782,0.9031641078260223,6288,1039,1039,1604,149,149,4684,890,890,0.2972328244274809,0.15014436958614052,0.7518703241895262,0.6308724832214765,0.14154568744662682,0.0696629213483146,-0.14708845484134037,0.14708845484134037,0.5051406077890057,0.4948593922109943,-0.12099784096804966,0.12099784096804966,0.12099784096804966,True,True,True,True,True,True,True,True,True,True,True
adult,logistic_regression,0,sex,0.4,7327,0.8485055275010236,0.686263425664217,0.9031641078260223,4917,2410,2410,1501,252,252,3416,2158,2158,0.32235102704901364,0.08298755186721991,0.7141905396402398,0.5634920634920635,0.15017564402810304,0.026876737720111215,-0.23936347518179374,0.23936347518179374,0.25744466405748917,0.7425553359425108,-0.15069847614817633,0.15069847614817633,0.15069847614817633,True,True,True,True,True,True,True,True,True,True,True
adult,logistic_regression,0,race,0.4,7327,0.8485055275010236,0.686263425664217,0.9031641078260223,6288,1039,1039,1604,149,149,4684,890,890,0.2612913486005089,0.136669874879692,0.7019950124688279,0.5906040268456376,0.11037574722459437,0.060674157303370786,-0.12462147372081689,0.12462147372081689,0.5230554919315298,0.4769445080684702,-0.11139098562319028,0.11139098562319028,0.11139098562319028,True,True,True,True,True,True,True,True,True,True,True
adult,logistic_regression,0,sex,0.45,7327,0.8517810836631636,0.6765932102441929,0.9031641078260223,4917,2410,2410,1501,252,252,3416,2158,2158,0.29082774049217003,0.07261410788381743,0.6682211858760826,0.5277777777777778,0.125,0.019462465245597776,-0.21821363260835258,0.21821363260835258,0.249680817108203,0.750319182891797,-0.1404434080983048,0.1404434080983048,0.1404434080983048,True,True,True,True,True,True,True,True,True,True,True
adult,logistic_regression,0,race,0.45,7327,0.8517810836631636,0.6765932102441929,0.9031641078260223,6288,1039,1039,1604,149,149,4684,890,890,0.2340966921119593,0.12800769971126083,0.6564837905236908,0.5570469798657718,0.0894534585824082,0.056179775280898875,-0.10608899240069847,0.10608899240069847,0.5468154998535381,0.45318450014646194,-0.09943681065791898,0.09943681065791898,0.09943681065791898,True,True,True,True,True,True,True,True,True,True,True
adult,logistic_regression,0,sex,0.5,7327,0.8528729357172103,0.6629143214509068,0.9031641078260223,4917,2410,2410,1501,252,252,3416,2158,2158,0.26072808623144195,0.06763485477178423,0.6222518321119254,0.5,0.10187353629976581,0.017145505097312327,-0.19309323145965773,0.19309323145965773,0.25940762941720985,0.7405923705827901,-0.12225183211192536,0.12225183211192536,0.12225183211192536,True,True,True,True,True,True,True,True,True,True,True
adult,logistic_regression,0,race,0.5,7327,0.8528729357172103,0.6629143214509068,0.9031641078260223,6288,1039,1039,1604,149,149,4684,890,890,0.21183206106870228,0.10875842155919153,0.614713216957606,0.4966442953020134,0.07386848847139198,0.043820224719101124,-0.10307363950951075,0.10307363950951075,0.5134181342073546,0.4865818657926454,-0.11806892165559252,0.11806892165559252,0.11806892165559252,True,True,True,True,True,True,True,True,True,True,True
adult,logistic_regression,0,sex,0.55,7327,0.8509621946226287,0.6398416886543535,0.9031641078260223,4917,2410,2410,1501,252,252,3416,2158,2158,0.23164531218222492,0.058091286307053944,0.5722851432378414,0.44047619047619047,0.08196721311475409,0.013438368860055607,-0.173554025875171,0.173554025875171,0.25077686986109243,0.7492231301389076,-0.13180895276165094,0.13180895276165094,0.13180895276165094,True,True,True,True,True,True,True,True,True,True,True
adult,logistic_regression,0,race,0.55,7327,0.8509621946226287,0.6398416886543535,0.9031641078260223,6288,1039,1039,1604,149,149,4684,890,890,0.18797709923664122,0.0933589990375361,0.5635910224438903,0.4429530201342282,0.059350982066609735,0.0348314606741573,-0.09461810019910512,0.09461810019910512,0.4966509187377555,0.5033490812622445,-0.12063800230966204,0.12063800230966204,0.12063800230966204,True,True,True,True,True,True,True,True,True,True,True
adult,logistic_regression,0,sex,0.6,7327,0.8497338610618261,0.6186352615171459,0.9031641078260223,4917,2410,2410,1501,252,252,3416,2158,2158,0.20622330689444784,0.04979253112033195,0.5276482345103265,0.4007936507936508,0.06498829039812647,0.008804448563484708,-0.1564307757741159,0.1564307757741159,0.24144958137936112,0.7585504186206389,-0.12685458371667568,0.12685458371667568,0.12685458371667568,True,True,True,True,True,True,True,True,True,True,True
adult,logistic_regression,0,race,0.6,7327,0.8497338610618261,0.6186352615171459,0.9031641078260223,6288,1039,1039,1604,149,149,4684,890,890,0.16682569974554706,0.08180943214629452,0.5187032418952618,0.40939597315436244,0.046327924850555084,0.02696629213483146,-0.08501626759925254,0.08501626759925254,0.49038866476253573,0.5096113352374643,-0.10930726874089941,0.10930726874089941,0.10930726874089941,True,True,True,True,True,True,True,True,True,True,True
adult,logistic_regression,0,sex,0.65,7327,0.8444110822983486,0.5802650957290133,0.9031641078260223,4917,2410,2410,1501,252,252,3416,2158,2158,0.17490339637990646,0.04273858921161826,0.46568954030646237,0.3531746031746032,0.0471311475409836,0.006487488415199258,-0.1321648071682882,0.1321648071682882,0.24435539901572903,0.755644600984271,-0.11251493713185917,0.11251493713185917,0.11251493713185917,True,True,True,True,True,True,True,True,True,True,True
adult,logistic_regression,0,race,0.65,7327,0.8444110822983486,0.5802650957290133,0.9031641078260223,6288,1039,1039,1604,149,149,4684,890,890,0.14153944020356235,0.07025986525505294,0.45760598503740646,0.3624161073825503,0.033304867634500426,0.021348314606741574,-0.07127957494850941,0.07127957494850941,0.4963977895772729,0.5036022104227271,-0.09518987765485615,0.09518987765485615,0.09518987765485615,True,True,True,True,True,True,True,True,True,True,True
adult,logistic_regression,0,sex,0.7,7327,0.8388153405213593,0.5395711500974659,0.9031641078260223,4917,2410,2410,1501,252,252,3416,2158,2158,0.1478543827537116,0.035269709543568464,0.4117255163224517,0.29365079365079366,0.03190866510538642,0.005097312326227989,-0.11258467321014314,0.11258467321014314,0.23854355134212676,0.7614564486578732,-0.11807472267165803,0.11807472267165803,0.11807472267165803,True,True,True,True,True,True,True,True,True,True,True
adult,logistic_regression,0,race,0.7,7327,0.8388153405213593,0.5395711500974659,0.9031641078260223,6288,1039,1039,1604,149,149,4684,890,890,0.11975190839694656,0.05678537054860443,0.4021197007481297,0.31543624161073824,0.02305721605465414,0.01348314606741573,-0.06296653784834214,0.06296653784834214,0.4741917795612545,0.5258082204387455,-0.08668345913739145,0.08668345913739145,0.08668345913739145,True,True,True,True,True,True,True,True,True,True,True
adult,random_forest,0,sex,0.3,7327,0.8296710795687184,0.6976744186046512,0.9151472047201467,4917,2410,2410,1501,252,252,3416,2158,2158,0.425869432580842,0.11659751037344399,0.8454363757495004,0.6785714285714286,0.24151053864168617,0.05097312326227989,-0.30927192220739796,0.30927192220739796,0.27378699069065143,0.7262130093093486,-0.16686494717807177,0.16686494717807177,0.19053741537940627,True,True,True,True,True,True,True,True,True,True,True
adult,random_forest,0,race,0.3,7327,0.8296710795687184,0.6976744186046512,0.9151472047201467,6288,1039,1039,1604,149,149,4684,890,890,0.3473282442748092,0.18383060635226178,0.827930174563591,0.7516778523489933,0.18274978650725876,0.08876404494382023,-0.1634976379225474,0.1634976379225474,0.5292705369702482,0.4707294630297518,-0.07625232221459766,0.07625232221459766,0.09398574156343853,True,True,True,True,True,True,True,True,True,True,True
